collection_id,start_time,end_time,time_duration,avg_cpu_usage,avg_memory_usage,record_count,start_after_collection_ids
380610024631,517950772282,532113503445,14162731163,0.013030929565429691,0.002402267456054687,100,[380610024312 380610024583]
384151958829,1303752116694,1303936050807,183934113,0.0002811749776204427,0.0005610783894856771,30,[]
383740465376,1209140724593,1236413517430,27272792837,0.008798856001633862,0.002345818739670974,104,[383740464953 383740465283]
384142164629,1302300676504,1302460053768,159377264,0.00187174914634391,0.0005734326088265197,292,[]
378466784108,256275131677,280089832080,23814700403,0.008975346883138025,0.002654665992373513,84,[378466783955 378466784075 378466783998 378466784084]
380066928659,429441937745,435744822033,6302884288,0.011909621102469311,0.0028270539783296143,84,[380066928585]
400053580398,2597189512296,2603374052941,6184540645,0.0009395440419514968,0.0008425235748291012,300,[]
381267770114,692669326054,693590874094,921548040,0.0005905151367187499,0.0008291244506835936,25,[]
393567206238,1812263219135,1827960597728,15697378593,0.003191201583198879,0.0018676674884298575,92,[393567204724 393567205708]
379312009951,344382116001,345812063378,1429947377,0.0010363170078822547,0.0010415485927036834,140,[]
380926999313,603387902566,620688469444,17300566878,0.00994417744298135,0.0029008619246944315,124,[380926997061 380926998763]
375058224969,14386352397,14559277725,172925328,0.001155670605016517,0.0005005554844690381,30448,[]
398231085599,2310234898624,2324591382507,14356483883,0.00548167938881732,0.0028137450522564824,188,[398231084832]
377444330139,171014179056,171297900067,283721011,0.0005439894873480166,0.0006630102598827658,6536,[]
382379714636,886703450102,891261690706,4558240604,0.001438732804923222,0.0009814295275457972,116,[]
384813663285,1466834432770,1474165570664,7331137894,0.0035748879114786782,0.001574635505676269,96,[384813662605]
396246441866,2112852481013,2113151260249,298779236,0.0018784573203638982,0.0006911026804070717,760,[]
395273620698,2006288555811,2009597830719,3309274908,0.001781675550672743,0.0008367255881980613,135,[]
379438271167,352675577127,359925634033,7250056906,0.0005020445043390449,0.000973723151467063,220,[]
399645612932,2502641998463,2516130546929,13488548466,0.006548846209490743,0.00256792704264323,108,[399645612412 399645612824 399645612698 399645612771]
375880965490,84441768354,103703485775,19261717421,0.0021709528836337004,0.0016404065218838778,176,[375880963780 375880965046]
394911405965,1984250117597,2012421082571,28170964974,0.00937503317128057,0.0026131920192552635,92,[394911405042 394911405899 394911404909 394911405879]
378466784039,256274605368,262361088545,6086483177,0.011449019114176432,0.0024467574225531686,72,[378466783989 378466783998]
380314079183,480005791705,480509079640,503287935,0.0010073401711203835,0.0006623268127441407,88,[]
382239788504,863545443543,907529847237,43984403694,0.016254381699995563,0.0028012882579456677,88,[382239786876 382239788399]
393577724598,1814912574673,1825748174382,10835599709,0.003114647335476346,0.0017369588216145833,72,[393577723952 393577724445]
383721758262,1206657641430,1218976065294,12318423864,0.004991976420084633,0.0021613756815592445,120,[383721757786 383721758249 383721757923 383721758244]
394914211669,1984884796930,2006222586894,21337789964,0.0015886094835069443,0.0016728507147894967,72,[394914211236 394914211662]
397854972709,2245964385803,2281166320486,35201934683,0.01302929719289144,0.0025839408238728834,96,[397854971678 397854972529]
396901088492,2157135085313,2184969375139,27834289826,0.003649767707375918,0.0015645307653090533,68,[396901085430 396901088245]
375846426570,83587860949,112288820279,28700959330,0.0022808837890625,0.0015898132324218747,100,[375846425968 375846426546]
382224574627,861191155970,888048645389,26857489419,0.003131024977740119,0.001412223367130055,68,[382224573343 382224574470]
397815661387,2244889426190,2245111811171,222384981,0.0011769092273792516,0.0007727678422678802,9496,[]
393232094129,1790017181618,1790410431985,393250367,0.0013504811531103746,0.0007697257442750793,828,[]
399513543891,2477452377797,2480670156139,3217778342,0.019109799311711237,0.0012148637038010817,260,[]
396961256219,2160641545983,2161408503978,766957995,0.0011120615778742612,0.0008781793955210097,148,[]
387816336805,1726338198516,1728639553239,2301354723,0.001678466796875,0.0008219166805869654,95,[]
377498620470,174692751887,177027712668,2334960781,0.0010019082289475666,0.0008114668039175183,130,[]
