Job ID	NewLB	Summed CPLength	Summed TWork
688483	1304	199	6.2365625
1027247	16429	13302	120.06927083333333
1331252	14423	9259	120.8203125
1593610	19065	14705	119.80458333333334
1640107	992	168	6.018541666666667
1711085	1043	250	6.699375
1839668	2174	308	7.004441666666667
2053026	1196	192	6.446770833333334
2083593	1900	265	6.348170833333333
2334655	1188	222	6.296354166666666
2430860	14870	10900	120.15989583333334
2503222	870	162	5.510104166666666
3318771	1064	174	5.945833333333333
3519312	1023	169	6.270104166666666
3809445	17299	11427	120.78197916666666
3946448	16374	11688	119.69104166666666
4132554	18190	15475	110.30552083333333
