Job ID	Resource 1 Utilization	Resource 2 Utilization
456	0.216042	0.219400
925	0.228333	0.244000
3004	0.224271	0.008300
3761	0.260000	0.209200
4014	0.256354	0.212000
5207	0.247396	0.189000
5368	0.270417	0.308400
6433	0.262604	0.239300
8226	0.257812	0.182300
8291	0.283542	0.191600
9817	0.234687	0.215300
10161	0.267604	0.194100
10256	1.957500	0.060400
11089	0.230000	0.206500
11115	0.191354	0.227900
11130	0.231979	0.161600
11582	0.261354	0.215400
16098	0.270104	0.196700
16338	0.238021	0.202100
17745	0.218333	0.205000
18462	0.247396	0.197300
18541	0.222396	0.198700
18647	0.261875	0.237000
19617	0.256146	0.220100
20646	0.290625	0.396200
21620	0.263125	0.209600
23866	0.245833	0.181000
24063	0.069271	0.011500
24635	0.223438	0.212500
26424	0.248958	0.210000
29670	0.237917	0.245000
31928	0.223646	0.266800
33999	0.225521	0.236800
36286	0.254688	0.190800
36654	0.227292	0.270600
37067	0.258646	0.223600
38944	0.916667	0.264400
39229	0.261562	0.211800
39718	0.266562	0.024200
40795	0.284792	0.024300
41980	0.261458	0.189200
42047	0.263958	0.202600
42802	0.076042	0.002600
42909	0.260417	0.235700
42990	0.375312	0.029400
43720	0.252292	0.208100
43829	0.237292	0.203600
45713	0.476979	0.435900
47808	0.256042	0.189800
48201	0.240937	0.214000
48305	0.248021	0.206700
48981	0.091563	0.002900
49740	0.221354	0.253700
50706	0.276042	0.008500
54118	0.255000	0.205800
54430	5.347083	0.284000
59161	0.540833	0.022400
60035	0.428646	0.416000
61937	25.623542	7.399400
62093	0.124896	0.003200
62398	0.190417	0.170600
62912	0.238750	0.192000
64133	0.073854	0.002700
65918	0.233125	0.189700
66612	0.379167	0.030300
66785	0.301667	0.316500
73404	0.241250	0.199100
75007	15.927812	3.032800
75696	1.305000	0.049600
78850	0.461562	0.200500
79226	0.223438	0.268400
80998	0.171042	0.251300
81571	0.175000	0.205700
81595	0.093125	0.210800
85151	0.226250	0.225400
85388	0.246146	0.198700
85496	0.064375	0.054800
85681	6.714062	0.372500
86088	0.244479	0.228700
87133	2.826875	0.090400
88594	86.208646	3.042500
89634	0.058542	0.105900
91736	4.908542	0.262800
93170	0.219167	0.195800
93912	0.247500	0.192500
95244	0.285729	0.219900
95889	0.221250	0.205400
96216	0.079583	0.005700
97742	0.202708	0.232800
98687	2.846667	0.093300
100187	0.303125	0.288500
102770	96.084792	4.673600
103901	0.282813	0.433600
104461	0.352292	0.025700
104575	0.283646	0.008800
112021	0.523542	5.232700
113377	0.257188	0.191700
113678	0.235625	0.253900
114784	0.239479	0.217400
118815	0.245833	0.259100
120024	0.326354	0.025000
120601	0.077396	0.017000
122822	0.225208	0.228500
122871	0.410313	0.408900
124669	0.077813	0.003900
125254	0.220625	0.214300
125740	0.237083	0.210700
127027	0.181250	0.199000
127743	0.269375	0.193800
128814	0.479479	2.670000
129253	0.264271	0.291500
130273	0.075417	0.003200
132423	0.333229	0.008700
132906	0.184271	0.257300
132910	0.233750	0.244600
133458	0.200208	0.256800
135137	0.248958	0.023000
135694	0.228854	0.454700
136980	0.231979	0.239700
137780	21.485208	0.725100
138134	0.359583	0.331900
142507	32.503854	10.000800
144072	0.258437	0.213800
144478	0.203958	0.164700
144966	0.231667	0.201300
145037	0.232708	0.222600
146486	0.360104	0.449800
147468	0.222812	0.210100
148947	0.363229	0.029100
153032	0.273646	0.507200
153880	0.243542	0.196500
158039	1.922083	0.087100
164075	0.247396	0.266400
164594	0.238750	0.209500
166999	11.083438	2.426700
167232	0.258854	0.472900
167439	0.239687	0.252800
170514	0.213646	0.205100
171229	1.632604	0.107100
173898	2.697500	0.092300
174013	0.113854	0.194100
176161	0.359063	0.029100
180366	0.223021	0.231900
182203	0.243229	0.223400
185195	0.216146	0.205800
187625	2.806979	0.093200
187627	0.251354	0.214900
188164	84.737188	20.733200
188694	0.280625	0.201400
193553	0.077708	0.004200
193831	0.323333	0.024600
193977	0.204479	0.184000
194196	8.150104	0.627700
195433	0.290938	0.024900
197984	0.253021	0.187100
199041	2.819583	0.093700
200365	0.814583	0.038200
201926	929.457708	26.937200
202996	0.321458	0.025800
204272	0.084792	0.005900
205357	0.097292	0.231000
205607	0.248542	0.201000
205859	69.873958	15.031500
206121	2.425937	0.094000
206866	0.222083	0.234600
207099	0.243646	0.195000
208109	0.228437	0.217800
210316	0.220625	0.214800
214082	0.267396	0.215600
214146	0.288438	0.198400
214768	0.388646	2.868100
215646	0.229792	0.008400
218994	3.057500	0.191200
219890	0.064271	0.003700
221112	0.129792	0.644700
226142	25.746458	3.784600
226992	0.240833	0.198300
229282	0.257708	0.189200
229661	5.602500	0.286200
230050	6.796979	0.617100
231149	0.210729	0.230800
231214	0.213229	0.270300
232412	0.265000	0.198900
234966	0.298958	0.375700
235700	0.136979	0.254600
236180	0.198958	0.230600
236687	0.263646	0.236900
238384	0.442604	0.435400
241122	0.255104	0.192500
241462	0.240208	0.212000
241501	0.213958	0.245100
241716	0.249167	0.211500
241802	0.177708	0.280100
243341	0.248646	0.239900
243980	0.366354	0.029700
244081	0.236667	0.218500
244405	0.204792	0.242400
246044	46.757188	6.376700
247015	0.228542	0.213200
247083	0.120833	0.003600
247273	0.035625	0.001000
247854	0.250417	0.207600
248106	0.246146	0.195600
248955	2.070208	0.093100
249083	2.468229	0.187700
250028	0.240729	0.247600
250705	0.246771	0.210100
251023	0.221979	0.178400
251216	0.255833	0.022800
253622	0.283021	0.009000
254132	0.115104	0.007300
254310	20.437500	0.749000
254387	0.283229	0.202700
257702	0.148958	0.132400
258351	0.299167	0.184900
260403	0.246354	0.215200
262392	0.226875	0.218300
262860	0.328437	0.027900
263535	0.059687	0.091400
263649	0.071458	0.002600
264860	0.256354	0.377700
265204	3.393750	0.261100
265737	0.291563	0.296600
266226	34.860833	2.746400
267377	0.768750	4.134300
267754	0.246979	0.183000
267902	0.235729	0.197500
268905	0.291667	0.416900
270226	0.242083	0.218700
270294	0.148229	0.121800
270836	0.268229	0.232100
274034	0.074167	0.003300
275634	0.266250	0.206400
277413	0.236875	0.246700
277620	0.252083	0.222600
278359	0.525833	0.387200
278573	0.206667	0.325400
278938	0.435729	0.371200
280760	0.258021	0.196100
282662	2.143750	0.067400
285543	0.470313	5.232900
285697	0.402187	0.457100
288085	0.259062	0.205700
288973	0.272292	0.210000
289209	0.232708	0.381200
289720	0.251250	0.191800
289963	0.231563	0.200600
290747	11.900833	6.367000
290951	7.475208	0.391200
291934	0.220000	0.211900
294384	0.293646	0.198800
295050	0.216042	0.208700
297624	0.249167	0.205000
298078	0.459688	0.021900
301863	0.242604	0.186700
304039	0.252604	0.291000
306517	0.258125	0.209600
306946	0.093021	0.205800
307439	0.234479	0.192800
307540	0.369583	0.026300
310349	0.433542	0.622800
312764	0.081667	0.007500
314363	0.250729	0.190100
314991	0.240417	0.199300
315114	0.310000	0.198500
315525	0.363438	0.388600
316069	0.968437	0.251700
317134	0.241250	0.203100
320475	2.752396	0.088300
320791	0.204375	0.211800
323582	0.287292	0.025000
324065	0.141250	0.008200
325188	0.163750	0.214000
326269	0.243125	0.202000
327207	0.044792	0.004100
329691	0.251771	0.204100
330776	0.265313	0.008200
331085	0.240729	0.209000
331673	39.606042	2.795600
331693	0.200417	0.198100
332109	0.244792	0.195300
332956	0.077604	0.005200
333174	0.225938	0.207700
334052	0.026771	0.114400
334147	0.219062	0.206600
334578	0.075313	0.002900
336712	7.155625	0.372000
336729	0.252396	0.217000
337183	5.304479	0.271000
