Job ID	Resource 1 Utilization	Resource 2 Utilization
593	93.085833	5.354500
835	0.239896	0.255300
1431	40.075521	2.054200
1643	0.714063	0.048700
2023	42.122813	1.993500
2072	1.630833	2.247800
2336	2.198542	0.131300
3348	0.213646	0.008600
5228	37.339687	2.000000
6623	99.231250	5.196600
8807	3.704896	0.121100
10171	4.790104	4.724600
10973	0.010417	0.001300
11480	100.724271	5.149500
11744	1.868333	2.359200
13699	2.415521	5.146100
15789	6.946562	0.710200
16092	0.230000	0.008500
17008	0.240104	0.008400
19086	1.775625	2.601600
20195	1.875729	2.354500
20716	1.652813	2.602200
21068	93.935937	5.142800
21749	39.740521	2.060000
23313	53.072917	4.719500
26605	2.653021	4.593200
29829	0.264792	0.008600
30375	38.895104	2.057500
34707	2.821146	6.267500
35743	2.168229	2.249700
35896	1.789479	0.110300
36013	1.583750	2.601600
36363	5.700521	0.949500
37239	0.078854	0.174700
39282	49.147604	5.130000
39425	2.796667	6.151400
40134	1.000208	0.090800
40943	0.714167	2.753800
41283	85.097396	4.362200
41579	85.874583	4.999100
42040	1.002188	0.439700
42481	2.806667	4.352200
43927	94.975313	5.067800
43949	0.104792	0.171900
44136	2.692292	6.287600
44251	0.151667	0.374500
44746	84.546979	4.996600
45133	0.229479	0.009000
45283	44.719687	4.987300
46841	49.271771	4.876600
47007	1.658750	2.369100
47165	49.796979	3.463400
48007	0.359375	0.019700
48565	0.248229	0.008900
48868	1.387812	0.049800
49238	77.479896	5.138100
50136	100.407813	4.853000
51418	0.286146	0.016400
52216	86.418646	4.958400
52254	89.191250	4.946400
52705	2.649479	6.699700
54013	0.018854	0.001300
54509	0.949688	2.820800
57908	45.380521	4.034500
58929	39.444896	2.089400
59179	34.249479	1.999000
59508	2.119479	0.079400
60889	37.457813	1.878400
63712	1.720208	2.558900
66941	0.085938	0.159000
66966	28.536667	2.060100
66976	43.681979	2.051400
67075	0.297812	1.980500
67391	43.226250	1.986200
68240	47.210417	5.115900
68909	7.493437	0.465700
69375	77.267813	4.365200
70341	3.103646	4.316000
71770	3.413646	0.081700
71854	19.212292	3.624900
72657	0.251667	0.008600
72833	79.247187	5.057300
73077	0.424063	1.142000
73426	0.975000	0.063800
74051	90.966562	5.135300
74150	3.399271	0.072800
74693	39.537604	2.037000
75437	77.176979	4.602100
75557	3.330312	0.073300
76114	82.944583	4.135900
76212	0.009583	0.071300
78862	8.575417	0.346200
78924	2.760729	4.522200
80707	39.853021	2.003800
81528	1.687812	2.696200
81864	3.427604	0.067100
82118	0.156042	0.008000
82189	60.025729	5.267400
82230	41.313125	1.998300
82669	0.238750	0.035500
83227	86.849896	5.361700
84352	0.414479	0.053900
85555	80.175521	4.612200
86483	57.884687	3.644800
87536	0.031563	0.064000
87609	1.606875	2.444200
88204	88.058750	5.191300
88307	0.247083	0.008700
88420	76.786771	4.286700
88601	41.917917	1.957200
88865	21.203333	4.055400
89622	90.021354	5.025800
89717	84.813750	5.015700
91191	87.303958	4.796700
91277	4.414688	0.776400
91955	1.575312	2.267900
92217	1.154479	0.048700
92838	1.173333	0.078100
93539	56.113229	4.518200
93773	5.416875	5.519200
93800	2.359896	4.312100
94986	4.334271	5.180700
95825	0.275208	0.021100
96632	99.844688	4.496200
103489	3.501979	0.058700
103768	2.001354	0.180500
104657	3.219688	0.081700
105243	1.663958	2.501000
105287	1.430000	0.051200
105302	1.972396	0.176300
105552	0.170833	0.011800
106719	40.324896	1.953900
106980	48.155104	5.284000
107136	37.131354	2.044700
107345	85.511146	4.934800
107836	88.166042	5.082400
107988	0.106250	0.002900
108053	0.232813	0.262500
108451	0.066458	0.002300
108479	6.661458	0.412300
108937	3.423229	0.082000
110066	55.319375	4.964200
110486	4.789792	4.928800
111218	93.091667	4.995000
112678	0.223646	0.008300
112760	43.262188	5.207100
113579	0.630313	0.479300
115676	59.091771	4.086900
115777	2.127813	0.098300
116447	40.279896	1.999200
116786	1.031667	2.832400
117948	81.624375	5.084300
119847	2.818646	0.464600
120112	39.343854	2.030600
122991	91.219688	4.951300
124138	2.447500	0.139600
124944	66.580938	5.073100
125744	3.341979	0.240900
126081	0.202813	0.219300
128649	5.536875	4.819900
129064	2.669896	4.231700
130919	54.076979	5.735200
132615	65.498646	4.516700
133279	35.842500	1.966900
134246	99.591979	5.109300
135378	47.890729	5.236900
135497	1.816979	2.272300
136767	0.292083	0.316600
137345	39.339479	1.978300
137727	0.892604	2.753300
138031	54.786042	5.251600
138815	104.667187	4.541200
139738	63.219167	5.066900
140124	56.293750	5.526000
140538	80.096563	4.701800
140814	65.653125	4.829500
141870	16.223437	3.128100
142226	0.229375	0.007700
142320	2.698958	4.477700
142686	80.950729	4.460400
143285	0.385521	0.030000
143665	0.192917	0.007900
145788	41.024792	5.312300
146460	1.774896	2.185400
147931	84.413229	4.684000
148307	0.302917	0.323300
148456	0.188438	0.511200
149121	42.941563	4.686100
149132	0.041250	0.107600
149168	0.248854	0.008400
149285	55.439479	5.394200
150324	0.207292	0.035800
150622	73.253854	4.761200
151146	75.305729	4.926100
151663	5.889271	4.596900
151879	0.219167	0.008300
152256	6.216354	4.628000
152559	1.618333	2.613100
154216	1.898646	2.483500
154929	0.263958	0.008600
157530	69.010000	5.520200
157635	38.658750	1.924800
161076	0.248854	0.008500
161079	3.714583	3.688600
161406	0.686354	2.839500
161667	171.013854	9.267300
162352	1.549167	2.589800
162572	0.038333	0.101400
162602	99.533333	4.864000
162677	1.908333	4.662400
163618	52.723646	4.836500
164330	71.198542	4.928700
165308	50.532500	5.111400
166224	4.282917	5.722000
166760	87.670208	4.554300
166886	60.797500	5.234400
167162	1.467500	2.606400
167188	0.237813	0.008400
167491	0.288125	0.329300
168162	1.585104	2.370400
168198	2.925417	0.068900
169209	76.558750	5.163900
169648	39.978021	1.888500
173620	1.420521	2.538800
173656	0.166667	0.191200
174060	1.088646	2.761200
174699	2.910000	10.550500
175037	2.882083	4.531400
177968	1.256667	1.281100
178118	0.325937	0.313900
178321	74.124375	4.306400
178322	2.368229	3.471200
179759	87.286458	5.241600
180064	33.812188	1.880900
180925	38.297083	1.980200
181187	61.882812	23.095700
181639	38.442396	2.008700
184061	43.095000	1.988300
184491	86.827812	5.136200
184721	54.597813	5.510600
185936	0.324271	0.308500
186022	1.305000	6.572300
186041	0.108958	0.005200
186132	75.729062	4.863100
186286	0.054688	0.062200
188538	1.971875	0.079700
188930	0.155729	0.190600
189114	37.005625	1.661900
189791	0.318021	0.367800
189915	46.080937	5.138600
190911	1.370208	1.060800
193789	0.207187	0.214600
193955	1425.378021	113.218700
195801	95.516563	32.570200
195857	2.422813	4.701800
195995	69.095833	5.116200
197713	0.484687	0.032900
198254	0.491458	0.014300
198658	0.287813	0.346000
199602	2.945000	10.714500
199636	0.211667	0.008800
199657	43.405104	5.028700
201495	1.601562	2.594300
201526	94.622604	4.865100
202864	0.221667	0.257400
203285	88.847083	5.354200
203778	54.332813	5.167200
203930	39.641354	2.052500
206060	0.233542	0.008200
206549	0.264271	0.008800
206925	2.747187	4.159900
206995	18.879896	3.361300
207768	49.282083	5.088700
209547	0.118750	0.003400
209722	75.402083	4.910900
210329	82.790729	4.827200
211544	88.910313	4.039200
212410	64.854167	4.474000
213372	98.264479	32.703900
215510	0.215000	0.007700
216229	2.599167	4.382000
216985	66.420521	4.862300
217472	43.095833	1.970300
217692	1.460833	0.049300
217742	1.962604	2.353800
217912	94.508437	5.027900
218686	42.122083	2.000400
219798	106.394688	5.131100
220789	47.092188	4.052100
222175	79.480208	4.715500
222257	4.286146	0.415300
223654	3.383021	0.068500
224732	58.494375	4.994900
224824	94.781667	5.216100
224832	37.416979	4.408700
224892	0.446979	0.468500
224970	1.953750	0.177200
226617	0.193333	0.008000
227613	0.194896	0.009100
228556	45.266042	3.695000
228582	76.982187	4.451700
228841	87.857500	4.714500
228895	39.883646	2.011900
230192	1.461250	2.408100
230200	0.243333	0.008600
230788	4.840000	5.538200
231571	4.086250	6.289300
232243	1.631979	2.669700
232733	11.664375	0.458100
234310	0.358854	0.089800
234647	29.421771	1.955700
234657	1.772396	2.286000
234711	3.387604	0.062200
235364	164.947500	10.879400
236313	3.371042	0.080900
237853	3.008229	4.312600
238621	42.998854	1.959700
238764	36.770208	2.089200
238870	86.732708	5.174700
239992	1.456146	2.622000
242593	1.496979	0.314600
244071	41.217813	1.945000
244501	1.254271	2.639600
244548	1.637292	2.801900
245003	42.921146	2.070600
245844	58.294688	5.169100
246113	67.720833	4.533100
