Job ID	Resource 1 Utilization	Resource 2 Utilization
875	22.950937	0.818400
4544	8.080729	0.467000
25762	4.437500	6.577400
61712	4.452917	0.242000
181570	0.211875	0.011000
492008	7.051354	0.412400
544433	0.155625	0.010900
960057	18.103021	0.820800
969756	2.356250	0.094200
991022	4.414271	6.549100
1021499	7.274271	0.399900
1162948	21.612604	0.947400
1318541	7.598542	0.400500
1371096	0.264167	0.010000
1676057	1.906771	0.083200
1768252	3.346458	0.121300
1795811	3.035104	0.128700
1832483	7.711667	0.368900
1834433	3.319688	0.121200
2077752	3.224792	0.121300
2108643	23.411771	0.835600
2213775	0.229792	0.009800
2220578	2.292187	0.094300
2239795	22.229375	0.820300
2376594	7.408542	0.394700
2426539	0.165937	0.010800
2664301	3.266146	0.121300
2900394	23.715312	0.851300
2921139	22.612188	0.851800
2977982	0.236667	0.010700
3117746	3.457292	0.121300
3185034	1.828229	0.091400
3230662	4.519687	6.464200
3271495	4.328958	6.709900
3296013	2.110937	0.093900
3588905	4.356771	6.425700
3802001	4.350104	6.506400
3989117	3.565833	6.544900
