Job ID	Resource 1 Utilization	Resource 2 Utilization
14418	7.261042	0.837700
38251	10.693125	0.982500
72328	6.988021	0.839400
87370	10.758125	0.988400
119244	6.522917	0.808800
147756	7.257500	0.845600
173181	8.475938	0.842200
180922	6.335729	0.822500
190639	6.993750	0.838500
213339	8.191250	0.836800
252194	7.284688	0.851600
259197	7.333437	0.839600
340953	7.044167	0.841400
356813	48.890625	9.992200
366026	11.631562	0.978300
367929	7.395833	0.835000
379828	8.218125	0.845900
393313	2.761250	0.204100
395727	10.615104	0.980700
409061	5.951667	0.827800
417472	7.272604	0.824000
430820	7.141771	0.822200
434751	10.602708	0.995900
469795	2.211042	0.187800
492239	7.882812	0.835200
496041	7.058125	0.844400
498568	8.690625	0.845200
543778	10.672083	0.984500
568154	7.163021	0.827500
578405	7.785521	0.840200
588114	8.132188	0.823600
595717	5.580312	0.751400
596035	6.836354	0.831400
611310	10.522813	0.974700
658936	6.996562	0.825500
665265	10.749271	0.977600
703340	7.009688	0.829600
708310	7.318437	0.834700
717638	7.273125	0.852000
735592	6.602917	0.831900
740459	0.114479	0.003600
765964	7.387917	0.850600
780485	48.937604	10.041600
786335	8.454583	0.869000
786980	7.908021	0.843200
789723	6.848438	0.838700
799939	8.519479	0.859800
806399	10.701875	0.996500
806931	11.623958	0.993800
838733	6.693646	0.812700
852538	6.566771	0.830500
853685	7.259167	0.838100
861304	7.509896	0.826600
867952	8.638438	0.865300
903006	7.634479	0.829200
962908	7.573125	0.839200
967279	10.738229	0.982300
995836	8.849583	0.865300
997652	8.403438	0.834600
1010238	11.296250	0.952500
1037040	10.013854	0.951100
1039508	8.443021	0.862600
1060988	7.084479	0.840100
1062922	7.912292	0.844800
1077707	8.906354	0.873600
1077887	10.892292	0.976500
1098993	8.470104	0.869200
1103104	10.758125	0.984700
1154505	6.918542	0.838900
1167291	8.415208	1.577200
1193789	6.808854	0.835600
1195196	6.896146	0.841500
1209441	6.802396	0.844100
1226761	8.444792	0.845500
1239600	7.934271	0.845200
1252953	6.691667	0.830800
1260526	7.527917	0.829700
1286792	7.580000	0.845700
1347082	0.141458	0.003700
1368071	7.544375	0.834900
1385151	7.139062	0.840200
1388242	0.000000	0.000000
1397050	7.349271	0.720600
1403570	10.724063	0.984600
1408500	7.054792	0.834400
1417936	11.333438	0.978800
1443753	2.865312	0.185400
1458678	6.823437	0.825100
1460146	10.422812	0.925400
1495195	6.788437	0.822600
1499431	7.154792	0.839500
1507239	6.276667	0.817700
1527850	7.924271	0.821500
1533437	48.201354	9.950000
