Job ID	NewLB	Summed CPLength	Summed TWork
185535	31240	444	140.5536625
187015	329	53	2.147254166666667
187066	339	115	3.2782
187191	341	117	3.209825
187905	72	72	0.143125
188036	45	45	0.30395833333333333
188631	185	110	0.0
189296	192776	2572	1673.2629000000002
189847	36	36	0.1603125
190040	578	227	17.363958333333333
190415	741	111	7.40225
190544	4351	4102	20.75958333333333
192950	18419	317	400.9686458333333
193314	302	108	1.596025
193856	1863	225	26.0355
194288	782	775	2.0428125
196609	1510	176	19.4981
197209	130	46	0.8980083333333335
198498	4454	946	1056.4352083333333
199010	9568	1330	247.37229166666668
199585	2478	2478	4.310104166666667
201412	490	56	4.3225
201825	264	264	2.1532291666666667
202749	35	35	0.129375
203885	18102	320	405.23822916666666
204106	359	123	3.3434791666666666
204646	30854	409	138.63667083333334
208582	17992	5485	484.8620833333333
209270	3958	478	6.563645833333333
210117	110	110	0.7886458333333333
211717	581	581	0.1798958333333333
211749	62	62	0.6154166666666666
211776	42	42	0.12270833333333334
211973	30	30	0.10385416666666666
212013	356	120	3.2287375
212547	9759	1286	245.61624999999998
212817	351	351	0.5580208333333334
212987	130	46	0.8376874999999999
213083	411	103	1.7109
213932	456	155	4.1391625
214402	40	40	0.17864583333333334
214652	33486	664	563.0608
215246	73	73	0.33781249999999996
215684	25049	2023	363.7
216333	9679	1481	246.81541666666666
217083	627	627	0.16395833333333334
218178	1062	198	10.258629166666665
218345	28544	587	483.90139999999997
218746	1762	349	15.2093
219929	115	47	0.7003958333333333
219979	412	143	3.9270875000000003
220283	121	47	0.7161458333333333
220285	61	61	0.5409375
220396	14871	358	3.7554999999999996
220772	35	35	0.13291666666666668
220884	31	31	0.030104166666666664
222124	171	60	1.0328208333333333
223183	365	125	3.3601708333333327
223888	151	53	0.8825291666666668
224538	1095	409	7.022500000000001
224797	395	395	0.15447916666666667
224974	39	39	0.1915625
225246	27	27	0.06791666666666667
225259	23559	1191	13.9353
225839	478	47	4.3723
226272	16107	11919	183.43395833333335
226286	39	39	0.11833333333333333
226822	507	150	5.264737500000002
226875	13842	294	400.5758333333333
227301	35100	465	154.656575
228626	111	111	0.8214583333333334
229515	31122	623	408.331875
229695	689	228	12.298854166666667
230736	6500	3752	73.48989583333334
231387	54	54	0.3748958333333333
231417	173	61	1.0969250000000001
232178	137	137	2.0047916666666667
232674	435	75	5.0659
233802	48084	1166	881.0228125
234057	36635	789	176.338125
234412	376	48	3.3999999999999995
236362	53	53	0.5042708333333333
236482	27929	386	142.2714
236785	874	79	8.7081
237408	8946	1168	244.86395833333333
237523	390	267	1.2438541666666667
239080	2457	2457	4.237291666666667
239192	654	48	5.1411999999999995
242286	1351	308	20.637187500000003
242391	484	48	4.005800000000001
242833	57	57	0.5333333333333333
242916	37516	490	166.16430416666668
243299	54	54	0.424375
244150	38	38	0.21125
245712	310	106	2.9005916666666667
245735	28879	2534	391.4898958333333
245933	481	161	3.4219000000000004
246135	19048	344	416.5021875
246363	41464	548	188.95090000000002
246433	35	35	0.19010416666666669
246993	149	29	0.5358333333333333
248562	18199	772	389.55375000000004
248576	73	73	0.7516666666666667
248643	351	351	0.0421875
249452	31829	520	145.4622
250355	25708	1324	11.7235
251836	336	115	3.1049041666666666
252877	190	62	1.2254333333333334
253147	2436	42	26.5813375
253400	257	47	0.9493958333333333
253727	4645	354	191.17114583333333
253739	360	124	3.202783333333333
253944	47160	2373	670.2874458333334
254059	855	855	0.24833333333333332
254193	332	44	1.8886958333333332
254440	33	33	0.13468750000000002
256153	31955	752	546.3076999999998
257533	416	120	4.3458250000000005
257610	11986	2147	335.07750000000004
257797	51	51	0.3136458333333333
258276	39	39	0.2078125
259872	16635	413	404.47718749999996
260534	77	77	0.5259375000000001
260603	73	73	0.744375
260651	10707	1439	334.46718749999997
261061	872	84	8.261199999999999
263055	1246	360	10.374583333333334
264121	1555	127	18.749200000000002
265024	39	39	0.161875
265626	3002	234	18.0784375
265807	2285	268	29.885800000000003
266078	843	77	8.721699999999998
267172	55	55	0.5333333333333333
267718	34038	474	152.80082500000003
268013	558	193	4.857195833333334
268129	546	159	5.102858333333334
268726	8257	1322	66.75827916666667
268883	19521	390	409.3598958333333
268906	16772	6359	325.84531250000003
268925	37989	669	171.53520000000003
269221	2801	41	27.27180416666667
269647	2964	56	28.929108333333332
270046	25036	1222	12.820599999999999
270664	2846	76	29.136420833333332
270739	361	149	5.565104166666667
271666	17945	14043	182.57520833333334
272105	33	33	0.12916666666666665
272134	38045	505	170.1396708333333
272218	31842	536	170.97449999999998
272499	572	116	4.139858333333333
273631	330	106	2.0772999999999997
274184	2614	43	26.207720833333333
275788	33510	558	157.1743
276974	2243	42	24.944208333333336
277484	41	41	0.13520833333333335
277530	27003	549	447.02369999999996
277973	130	46	0.8975249999999999
280096	32211	430	161.82819999999998
280138	602	416	6.395416666666667
280326	75	75	0.40802083333333333
280452	739	739	1.7448958333333333
281307	435	151	3.8651291666666676
282285	48	48	0.15989583333333335
282696	35544	584	161.712
284855	21054	373	405.0408333333333
285403	23117	311	110.3892125
286449	5189	2931	43.1696875
286610	814	74	8.8448
286776	215402	1426	5026.2546875
287258	30726	724	503.80580000000003
287701	137	137	1.8904166666666666
289278	37	37	0.13624999999999998
289313	11067	723	105.5690625
289966	17746	12646	187.49989583333334
290395	39	39	0.15812500000000002
293364	4519	1819	55.7403125
294024	9245	345	135.0525
294437	479	233	2.9830208333333332
294709	660	221	12.196666666666665
295471	71	71	0.4497916666666667
295556	37100	598	168.68290000000002
295666	21928	294	105.48376666666668
295936	2651	46	26.235095833333332
297816	196	70	1.2499375
298581	40	40	0.198125
298782	41459	539	214.7719
298786	35929	509	173.2383958333333
299357	39	39	0.1609375
300218	332	115	2.9236083333333336
300542	1821	451	11.3963
301145	1386	161	19.703700000000005
302299	530	56	4.627
302549	470	48	4.2196
302965	336	336	0.39447916666666666
303549	123	44	0.8241999999999999
304421	1949	218	24.6805
304863	614	291	16.51125
306301	1667	198	22.889000000000003
306708	41081	1580	716.8075791666666
307321	335	335	0.10760416666666667
307408	330	115	2.7698541666666667
309536	286	123	0.9879166666666666
311323	106	36	0.7669166666666667
311539	2127	263	29.2968
311651	28969	569	481.5614999999999
311923	481	141	4.966754166666666
312319	36	36	0.113125
313474	22373	1124	13.2105
314128	14393	188	110.71940000000001
314650	58	58	0.36020833333333335
315018	782	775	2.265833333333333
317158	65523	3185	642.7872916666668
317168	485	139	4.547679166666667
318321	1716	208	23.4892
318544	32	32	0.13239583333333332
320533	40	40	0.17979166666666666
320772	39	39	0.19958333333333333
321129	233	233	2.046666666666667
321635	39947	635	178.1995
321840	14498	8798	185.96447916666668
322898	11481	1657	332.53281250000003
326140	14906	2837	448.96781250000004
326431	481	45	4.49
327879	13769	8391	187.57375
327880	12893	2283	336.43677083333336
329383	35	35	0.14385416666666667
329683	78	78	0.1553125
330264	472	136	4.803212499999999
331207	10508	2803	246.74354166666666
332252	3762	60	35.746275
332592	188	60	1.2267333333333335
332630	55	35	0.19710000000000003
332914	32422	489	167.8106
333642	213	213	3.1156249999999996
333644	32	32	0.08989583333333333
334852	1368	158	17.377200000000002
335002	410	40	3.5993999999999997
335443	112660	485	915.8521875
335869	177	147	1.5022916666666666
335968	420	51	1.0805
336273	15057	1883	248.07541666666665
336403	226	158	1.5321875
337012	9364	1131	243.47458333333336
338214	8332	1040	243.14885416666667
338830	2485	1272	8.928541666666666
339201	77	77	0.8688541666666667
342254	173	61	1.0138625
342868	31	31	0.10364583333333333
343446	2258	44	24.419645833333334
343893	1441463.760625	44867	98422.71583333334
344858	18206	662	398.8545833333333
345021	133	23	1.0389583333333334
345179	35359	479	160.57252500000004
345269	54	34	0.1947666666666667
345822	10231	2497	251.55989583333331
346431	11387	1664	331.1532291666666
347118	2812	159	26.459245833333334
347846	26587	445	132.4667
348719	392	134	3.6526041666666664
348953	17384	360	418.0314583333333
349752	17948	664	414.4259375
350661	21530	462	410.2844791666667
351153	410	40	3.5351000000000004
351233	31	31	0.09520833333333334
351470	35	35	0.0740625
351540	234	138	1.0659999999999998
352940	36428	589	167.7387
353101	275745	2456	7576.314166666667
353131	330	110	3.0146541666666664
353547	448219	11930	10813.3609375
354005	10853	1695	250.42666666666665
354564	13838	5027	306.7422916666667
356109	35	35	0.09666666666666666
356362	108245	3976	1641.8953125
358262	30	30	0.0365625
359727	31192	452	403.4251041666667
360243	75	75	0.8514583333333334
361566	15034	751	518.4570833333333
363029	1986	246	8.678400000000002
363128	2575	42	28.202025
363416	30189	1316	387.7390625
363566	16160	279	402.32
363907	15753	284	408.29354166666667
364322	38193	728	411.81541666666664
365430	2647	50	26.296379166666668
365688	242	82	2.3457
365729	335	115	3.1276791666666672
366857	34	34	0.130625
367475	497	180	2.7997000000000005
367575	2530	294	32.9146
367944	11953	1726	322.2915625
368075	9056	1254	247.8178125
368087	1566	179	19.863
369267	506	506	8.244583333333335
369533	30	30	0.07427083333333334
369663	601121	29527	6498.337083333333
369721	34027	439	150.6167291666667
369845	621	615	6.6503125
370018	8338	3039	54.639583333333334
370657	23758	1198	13.7194
372582	581649	7270	7045.544166666667
372978	85341	9860	3862.9030208333334
373021	1652	189	22.650899999999996
373488	32	32	0.09343749999999999
374105	75	75	0.8329166666666666
374985	69833	9294	1174.8317708333334
377030	32496	521	157.39880000000002
377941	39801	778	664.4717999999999
378121	2613	50	26.9153375
378315	7385	241	5.0035
379492	11485	1686	315.75947916666667
380682	12468	2167	337.41281250000003
380825	58	58	0.18729166666666666
381569	32552	526	161.1251
382551	848	84	9.1227
385126	447	240	7.146145833333333
385631	52	52	0.4815625
386675	755	320	16.406666666666666
387236	12812	3292	330.1203125
387543	335	115	3.0745375000000004
387676	230	66	1.7414000000000003
388013	38	38	0.1321875
388313	565	142	16.111354166666665
388822	40	40	0.178125
389532	34	34	0.08302083333333334
389790	9097	466	133.34645833333332
390401	576	60	3.006849999999999
391197	3232	272	35.83072916666667
391356	122	44	0.8656249999999999
391715	10857	1485	331.6192708333333
392932	401	401	0.07645833333333332
393244	775	775	0.2770833333333333
393600	123	44	0.8534583333333333
394005	28730	610	477.0451
394080	50	50	0.3865625
394211	1108	213	6.859079166666667
394927	1774	166	19.060100000000002
395102	4964	144	2.4680208333333336
395302	1638	190	20.9998
395582	31070	414	142.1911458333333
397366	31556	473	409.57458333333335
398558	436	124	4.642479166666667
398685	36	36	0.11135416666666667
400013	26692	1394	14.799399999999999
400505	29	29	0.10802083333333334
400817	19619	1641	598.8589583333334
401727	709	208	7.176499999999999
402754	86801	534	544.7839583333334
403265	464	133	4.791091666666666
404396	710	710	0.16197916666666667
404536	24461	351	115.95646666666667
404817	306	102	2.7038458333333333
405433	32	32	0.10541666666666666
406472	2516	291	34.9867
407204	35554	524	159.88397916666668
407562	7846	3618	150.93593750000002
407577	42	42	0.16447916666666668
408160	629	61	6.524700000000001
408293	334	114	2.9809
408402	11622	1615	327.11197916666663
410315	29746	391	154.0006
410491	451	339	6.7684375
411012	18681	575	410.6376041666667
411205	464	159	4.384458333333334
411768	338	338	0.17020833333333332
413140	34	34	0.09885416666666666
413185	316	108	2.902474999999999
413228	33	33	0.12614583333333335
413651	25946	1246	18.153599999999997
414031	113	113	0.094375
414975	105105	1875	3058.939479166667
415115	36	36	0.13708333333333333
415292	34827	463	160.90370000000001
415315	30	30	0.11562499999999999
415410	325	325	0.32208333333333333
415476	34	34	0.16854166666666667
416186	865	129	8.255754166666666
417786	399	399	0.46604166666666663
418114	483	402	2.1048625000000003
419213	1557	177	19.191
419599	1569	180	20.227899999999998
420845	12898	1824	335.71447916666665
421652	40426	675	343.5166
422374	274	98	1.4329833333333333
423285	385	385	0.47875
424397	385	133	3.619745833333334
424745	36	36	0.19041666666666668
425001	1861	305	18.7115
426316	40	40	0.24052083333333332
426685	3326	124	30.580583333333337
426967	32722	436	148.54452500000002
427569	13471	5681	335.7113541666667
427707	38297	504	185.0291
428464	27501	542	459.9574999999999
428686	38	38	0.14708333333333334
429064	414	414	0.24510416666666665
429161	1644	184	21.862399999999997
430036	393	393	0.09156249999999999
430403	920	275	9.473200000000002
